text,label
['MARKETING AFFILIATE AGREEMENT'],Non-Disparagement
['MARKETING AFFILIATE AGREEMENT'],Anti-Assignment
['MARKETING AFFILIATE AGREEMENT'],Minimum Commitment
['MARKETING AFFILIATE AGREEMENT'],License Grant
['MARKETING AFFILIATE AGREEMENT'],Audit Rights
['MARKETING AFFILIATE AGREEMENT'],Cap On Liability
['MARKETING AFFILIATE AGREEMENT'],Warranty Duration
['VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT'],Most Favored Nation
['VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT'],Termination For Convenience
['VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT'],Anti-Assignment
['VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT'],Revenue/Profit Sharing
['VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT'],Minimum Commitment
['VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT'],License Grant
['VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT'],Unlimited/All-You-Can-Eat-License
['VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT'],Audit Rights
['VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT'],Uncapped Liability
['VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT'],Cap On Liability
['CONTENT DISTRIBUTION AND LICENSE AGREEMENT'],Exclusivity
['CONTENT DISTRIBUTION AND LICENSE AGREEMENT'],Revenue/Profit Sharing
['CONTENT DISTRIBUTION AND LICENSE AGREEMENT'],License Grant
['CONTENT DISTRIBUTION AND LICENSE AGREEMENT'],Affiliate License-Licensee
['CONTENT DISTRIBUTION AND LICENSE AGREEMENT'],Unlimited/All-You-Can-Eat-License
['CONTENT DISTRIBUTION AND LICENSE AGREEMENT'],Audit Rights
['WEBSITE CONTENT LICENSE AGREEMENT'],Exclusivity
['WEBSITE CONTENT LICENSE AGREEMENT'],Change Of Control
['WEBSITE CONTENT LICENSE AGREEMENT'],Anti-Assignment
['WEBSITE CONTENT LICENSE AGREEMENT'],Revenue/Profit Sharing
['WEBSITE CONTENT LICENSE AGREEMENT'],License Grant
['WEBSITE CONTENT LICENSE AGREEMENT'],Non-Transferable License
['WEBSITE CONTENT LICENSE AGREEMENT'],Audit Rights
['WEBSITE CONTENT LICENSE AGREEMENT'],Uncapped Liability
['WEBSITE CONTENT LICENSE AGREEMENT'],Cap On Liability
['CONTENT LICENSE AGREEMENT'],Rofr/Rofo/Rofn
['CONTENT LICENSE AGREEMENT'],Anti-Assignment
['CONTENT LICENSE AGREEMENT'],Revenue/Profit Sharing
['CONTENT LICENSE AGREEMENT'],License Grant
['CONTENT LICENSE AGREEMENT'],Irrevocable Or Perpetual License
['CONTENT LICENSE AGREEMENT'],Audit Rights
['CONTENT LICENSE AGREEMENT'],Uncapped Liability
['CONTENT LICENSE AGREEMENT'],Cap On Liability
['CO-BRANDING AND SERVICES AGREEMENT'],Change Of Control
['CO-BRANDING AND SERVICES AGREEMENT'],Anti-Assignment
['CO-BRANDING AND SERVICES AGREEMENT'],License Grant
['CO-BRANDING AND SERVICES AGREEMENT'],Cap On Liability
['CO-BRANDING AGREEMENT'],Competitive Restriction Exception
['CO-BRANDING AGREEMENT'],Non-Compete
['CO-BRANDING AGREEMENT'],Exclusivity
['CO-BRANDING AGREEMENT'],Rofr/Rofo/Rofn
['CO-BRANDING AGREEMENT'],Change Of Control
['CO-BRANDING AGREEMENT'],Anti-Assignment
['CO-BRANDING AGREEMENT'],Price Restrictions
['CO-BRANDING AGREEMENT'],Minimum Commitment
['CO-BRANDING AGREEMENT'],License Grant
['CO-BRANDING AGREEMENT'],Non-Transferable License
['CO-BRANDING AGREEMENT'],Uncapped Liability
['CO-BRANDING AGREEMENT'],Cap On Liability
['CO-BRANDING AGREEMENT'],Covenant Not To Sue
['PRODUCT DEVELOPMENT AND CO-BRANDING AGREEMENT'],Most Favored Nation
['PRODUCT DEVELOPMENT AND CO-BRANDING AGREEMENT'],Exclusivity
['PRODUCT DEVELOPMENT AND CO-BRANDING AGREEMENT'],Anti-Assignment
['PRODUCT DEVELOPMENT AND CO-BRANDING AGREEMENT'],Revenue/Profit Sharing
['PRODUCT DEVELOPMENT AND CO-BRANDING AGREEMENT'],Minimum Commitment
